plat,fnode,nbApps,nbNodes,usage,windur
nersc,1.0717734625362931,42,5456,0.5723665394451115,3884.0
nersc,1.0,24,3769,0.42376883292107037,4855.0
nersc,1.0,33,5124,0.5761187317292557,4784.0
nersc,2.0,64,3017,0.1696087249831347,757.0
nersc,1.0717734625362931,29,3797,0.39832766683890913,3474.0
nersc,1.148698354997035,35,4007,0.3922077925711231,2844.0
nersc,1.7411011265922482,36,2799,0.1807514445489488,817.0
nersc,1.624504792712471,30,1983,0.13724754731633512,982.0
nersc,1.8660659830736148,46,2104,0.12677149568115365,669.0
nersc,1.148698354997035,36,4220,0.41305637251064126,3081.0
nersc,1.0,26,4098,0.4607600629637958,4479.0
nersc,1.0,32,4687,0.526984483921745,4970.0
nersc,1.7411011265922482,31,1486,0.09596164580197852,731.0
nersc,1.624504792712471,43,3056,0.21151210519350486,988.0
nersc,1.515716566510398,34,1986,0.14732081801186014,1030.9999999999864
nersc,1.0717734625362931,31,4179,0.4384017170713198,3842.0
nersc,1.148698354997035,30,3682,0.3603965790483841,2820.000000586081
nersc,2.0,148,6464,0.36339105014616596,2790.0
nersc,1.7411011265922482,29,1545,0.0997716976877906,732.0
nersc,1.0717734625362931,32,4422,0.4638938485018847,3574.1052772225376
nersc,1.3195079107728942,38,3265,0.2782108494297532,1815.0
nersc,1.0,31,4590,0.516078255003373,4727.232946236528
nersc,1.3195079107728942,29,2713,0.2311748957129925,1779.0
nersc,2.0,56,2760,0.15516078255003374,568.9999999999917
nersc,1.148698354997035,38,4573,0.4476082444291854,2983.0
nersc,2.0,39,1775,0.09978637283561952,498.0
nersc,1.8660659830736148,28,1122,0.06760343068167984,1251.0
nersc,2.0,51,2337,0.13138070609399596,522.0
nersc,1.8660659830736148,51,2492,0.15014950914326752,631.0
nersc,1.0717734625362931,32,4274,0.4483677766840921,3743.1052772225376
nersc,1.0717734625362931,27,3648,0.3826966891304558,5736.0
nersc,1.2311444133449163,32,3585,0.3274032877149881,2379.2749472610885
nersc,1.2311444133449163,29,3519,0.3213757794892729,2254.0
nersc,1.148698354997035,50,5216,0.510545506875712,3733.0000000018813
nersc,2.0,93,3142,0.1766359343377558,499.0
nersc,1.148698354997035,40,4504,0.4408544790966655,3191.999999999977
nersc,1.515716566510398,35,2206,0.16364034467984062,1032.0
nersc,1.624504792712471,39,2495,0.172684130385404,1032.0
nersc,2.0,46,2073,0.1165392399370362,530.9999999999949
nersc,1.2311444133449163,31,3146,0.2873112254257609,2224.0
nersc,1.8660659830736148,136,6898,0.41562251768469477,2791.0
nersc,1.515716566510398,50,2679,0.19872732701599866,1972.0
nersc,1.7411011265922482,32,1908,0.12321320335812586,761.0
nersc,1.515716566510398,32,2158,0.16007972067955398,1031.0
nersc,1.3195079107728942,29,2280,0.19427893926488127,1808.0
